,width,depth,slope,discharge,bankfull,source,site_id
1485,29.1768292682927,0.720091954022989,0.00201,17.16,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1490,16.5243902439024,0.950715867158672,0.00043,12.83,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1491,57.92682926829271,1.28524210526316,0.00055,65.99,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1492,61.280487804878,1.7898029850746298,0.00045,122.34,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1493,85.0,3.29,0.0012,933.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1494,29.3,0.91,0.0065099999999999,47.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1496,112.0,1.82,0.0012,339.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1498,12.5,0.4528,0.01057,4.96,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1499,61.280487804878,1.75945074626866,0.0004799999999999,118.1,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1500,44.1965374298951,0.515112,0.002,16.169007,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1503,26.7378048780488,1.16127708095781,0.00271,30.3,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1504,97.0,1.7,0.004,509.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1505,3.2,0.192,0.192,0.52,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1506,61.9,1.14,0.0009,80.1,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1508,27.432333577176298,0.920496,0.006,39.92697,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1514,14.4,1.96,0.00134,34.0,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1517,83.2317073170732,1.50759853479853,0.0007599999999999,112.43,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
